Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
269,1/1/2016 14:29,1/1/2016 14:33,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958611647166,-74.04311746,24526,Subscriber,1986,1
1099,1/1/2016 14:31,1/1/2016 14:49,3214,Essex Light Rail,40.7127742,-74.0364857,3207,Oakland Ave,40.7376037,-74.0524783,24594,Subscriber,1960,1
431,1/1/2016 14:38,1/1/2016 14:45,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,24537,Subscriber,1991,1
170,1/1/2016 14:41,1/1/2016 14:44,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074262530658,-74.06378388,24514,Subscriber,1975,1
147,1/1/2016 14:42,1/1/2016 14:44,3213,Van Vorst Park,40.71848892,-74.04772663,3185,City Hall,40.7177325,-74.043845,24470,Subscriber,1982,2
234,1/1/2016 14:49,1/1/2016 14:53,3210,Pershing Field,40.74267714,-74.05178863,3207,Oakland Ave,40.7376037,-74.0524783,24599,Subscriber,1960,1
307,1/1/2016 14:52,1/1/2016 14:57,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24631,Subscriber,1991,1
198,1/1/2016 14:56,1/1/2016 14:59,3207,Oakland Ave,40.7376037,-74.0524783,3212,Christ Hospital,40.73478582,-74.05044364,24599,Subscriber,1960,1
1217,1/1/2016 15:01,1/1/2016 15:22,3183,Exchange Place,40.7162469,-74.0334588,3207,Oakland Ave,40.7376037,-74.0524783,24558,Subscriber,1989,1
810,1/1/2016 15:12,1/1/2016 15:25,3214,Essex Light Rail,40.7127742,-74.0364857,3187,Warren St,40.7211236,-74.03805095,24536,Subscriber,1960,2
754,1/1/2016 15:12,1/1/2016 15:24,3214,Essex Light Rail,40.7127742,-74.0364857,3187,Warren St,40.7211236,-74.03805095,24429,Subscriber,1956,1
4188,1/1/2016 15:24,1/1/2016 16:34,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,24427,Subscriber,1968,2
178,1/1/2016 15:32,1/1/2016 15:35,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074262530658,-74.06378388,24675,Subscriber,1977,1
1931,1/1/2016 15:33,1/1/2016 16:05,3206,Hilltop,40.7311689,-74.0575736,3210,Pershing Field,40.74267714,-74.05178863,24519,Subscriber,1950,1
225,1/1/2016 15:40,1/1/2016 15:44,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,24389,Subscriber,1972,1
150,1/1/2016 15:41,1/1/2016 15:43,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,24716,Subscriber,1976,1
2980,1/1/2016 15:41,1/1/2016 16:31,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,24605,Subscriber,1992,1
108,1/1/2016 15:46,1/1/2016 15:48,3212,Christ Hospital,40.73478582,-74.05044364,3212,Christ Hospital,40.73478582,-74.05044364,24723,Subscriber,1990,1
888,1/1/2016 15:48,1/1/2016 16:03,3197,North St,40.752559,-74.044725,3203,Hamilton Park,40.72759597,-74.04424731,24646,Subscriber,1977,1
607,1/1/2016 15:52,1/1/2016 16:02,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24389,Subscriber,1972,1
530,1/1/2016 15:58,1/1/2016 16:06,3199,Newport Pkwy,40.7287448,-74.0321082,3184,Paulus Hook,40.7141454,-74.0335519,24656,Subscriber,1988,1
1168,1/1/2016 15:58,1/1/2016 16:18,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,24627,Subscriber,1977,2
332,1/1/2016 16:02,1/1/2016 16:08,3195,Sip Ave,40.73074262530658,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24675,Subscriber,1950,1
2460,1/1/2016 16:09,1/1/2016 16:50,3210,Pershing Field,40.74267714,-74.05178863,3205,JC Medical Center,40.71653978099194,-74.04963791,24519,Subscriber,1950,1
542,1/1/2016 16:20,1/1/2016 16:29,3209,Brunswick St,40.7241765,-74.0506564,3202,Newport PATH,40.7272235,-74.0337589,24556,Subscriber,1987,2
547,1/1/2016 16:24,1/1/2016 16:33,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,24471,Subscriber,1972,1
230,1/1/2016 16:40,1/1/2016 16:44,3195,Sip Ave,40.73074262530658,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24388,Subscriber,1977,1
109,1/1/2016 16:42,1/1/2016 16:44,3213,Van Vorst Park,40.71848892,-74.04772663,3185,City Hall,40.7177325,-74.043845,24542,Subscriber,1970,1
219,1/1/2016 16:44,1/1/2016 16:48,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,24377,Subscriber,1979,1
677,1/1/2016 16:49,1/1/2016 17:00,3184,Paulus Hook,40.7141454,-74.0335519,3205,JC Medical Center,40.71653978099194,-74.04963791,24516,Subscriber,1979,1
